collection_date,collection_day_status,is_model_baseline_day,is_partial_day,records,unique_routes,unique_trips,avg_delay_minutes,min_delay_minutes,max_delay_minutes,delay_outliers_abs_gt_120
2026-05-06,partial_or_interrupted,False,True,3944,156,1293,-0.61118576742571,-15.23333333,58.38333333,0
2026-05-07,partial_or_interrupted,False,True,8856,172,1784,-0.699307437536924,-385.9166667,72.55,8
2026-05-08,partial_or_interrupted,False,True,59418,460,8372,0.8510653337370158,-30.58333333,167.2666667,1
2026-05-09,likely_complete,True,False,110264,167,11256,0.09696470894141333,-63.9,591.6833333,13
2026-05-10,likely_complete,True,False,132913,382,13699,-0.6206574977585112,-777.0,205.4333333,12
2026-05-11,likely_complete,True,False,162076,509,14901,-1.3412489613918965,-777.0,242.2333333,63
2026-05-12,partial_or_interrupted,False,True,117454,458,11794,-0.7592339696160113,-60.98333333,102.8666667,0
2026-05-13,partial_or_interrupted,False,True,63275,382,8444,-0.5194421177389332,-34.9,112.3666667,0
2026-05-14,partial_or_interrupted,False,True,84981,458,10664,0.6085677975078626,-61.35,247.6333333,12
2026-05-15,likely_complete,True,False,120108,456,12101,0.27867904996614157,-531.8166666666667,508.4666666666666,93
2026-05-16,likely_complete,True,False,134671,169,11834,0.07743723593052698,-61.7,109.55,0
2026-05-17,likely_complete,True,False,150826,385,13826,-0.8429830842604502,-53.56666666666667,72.66666666666667,0
2026-05-18,likely_complete,True,False,162560,513,14933,-0.9860866756889763,-59.36666666666667,373.01666666666665,14
2026-05-19,likely_complete,True,False,180336,511,14956,-0.22076873170082512,-58.98333333333333,759.3833333333333,60
2026-05-20,likely_complete,True,False,178917,512,14967,0.1181887877246619,-58.15,689.1166666666667,85
2026-05-21,likely_complete,True,False,128903,464,11666,-0.12912461308115403,-60.86666666666667,102.35,0
2026-05-22,likely_complete,True,False,146028,457,13754,-0.5451701043611293,-1039.5666666666666,119.5333333,30
2026-05-23,likely_complete,True,False,106390,165,10267,-0.6047542062223893,-1039.5666666666666,477.1666666666667,164
2026-05-24,likely_complete,True,False,152663,377,13939,-0.8253974440434159,-86.66666666666667,240.15,19
2026-05-25,likely_complete,True,False,152083,511,14874,-1.0642550449425643,-77.93333333333334,131.36666666666667,5
2026-05-26,likely_complete,True,False,168564,512,14906,-0.7005198816671018,-75.16666666666667,346.4,51
2026-05-27,partial_or_interrupted,False,True,112028,459,10557,0.010214261910712797,-63.78333333333333,280.1333333333333,22
2026-05-28,likely_complete,True,False,118579,454,11935,-0.25886975490320097,-416.6166666666667,95.73333333333332,12
2026-05-29,likely_complete,True,False,153169,459,14271,-0.9770358231757079,-416.6166666666667,300.68333333333334,96
2026-05-30,likely_complete,True,False,116045,166,11535,-0.5381609145877317,-61.81666666666667,94.16666666666669,0
2026-05-31,likely_complete,True,False,115349,166,10990,-1.6725722228483413,-430.31666666666666,179.65,42
2026-06-01,likely_complete,True,False,106883,382,12199,-1.0532321947051138,-430.31666666666666,155.18333333333334,25
2026-06-02,likely_complete,True,False,176714,513,14973,-0.702862534943468,-379.48333333333335,154.68333333333334,48
2026-06-03,likely_complete,True,False,182443,511,14981,-0.3681032797458202,-57.05,254.75,71
2026-06-04,likely_complete,True,False,182970,512,15049,-0.28919394800604836,-67.48333333333333,366.4166666666667,39
2026-06-05,partial_or_interrupted,False,True,115022,458,10605,0.49661079329751406,-59.36666666666667,210.06666666666663,16
