route_id,route_short_name,route_long_name,records,avg_delay_minutes,max_delay_minutes
HUIA-404,HUIA,HUIA,64,50.15,119.95
S459-203,,,278,11.73,47.05
S429-221,,,151,9.43,14.8
S046D-221,,,145,9.07,32.88333333
S061A-203,,,122,9.04,20.43333333
S461-203,,,247,8.9,30.6
128-202,128,128,4553,8.58,40.56666666666667
S082A-202,,,97,7.56,47.11666666666667
S408-202,,,205,7.28,18.766666666666666
S075-203,,,169,7.05,28.65
S463-203,,,238,6.58,17.93333333
S469-203,,,304,6.08,29.78333333
S006-218,,,288,6.06,17.71666667
S465-203,,,110,6.0,15.366666666666667
S466-202,,,146,5.98,24.18333333
S015G-203,,,133,5.79,11.56666667
S027H-203,,,159,5.61,15.6
S456-203,,,199,5.44,31.05
S030-203,,,132,5.4,23.96666667
S003D-203,,,118,5.24,16.0
